freq,amp_thresh,goer_thresh,acc,precision,recall,f1,specificity,tp,tn,fp,fn
57617.51641783843,0.0006710047154092849,7.421670710003253e-06,0.473,0.4724724724724725,1.0,0.6417403127124405,0.0018939393939035238,472,1,527,0
59864.64894949528,0.0005992660758319132,9.040821827516694e-06,0.516,0.5155155155155156,1.0,0.6803170409511229,0.0020618556700605804,515,1,484,0
55703.607161399654,0.0005130122595914576,6.911132744874562e-06,0.49,0.4894894894894895,1.0,0.657258064516129,0.001956947162388318,489,1,510,0
57262.96191282415,0.0009405190210169458,8.325673087516733e-06,0.48,0.4794794794794795,1.0,0.6481732070365359,0.0019193857965082652,479,1,520,0
54297.21158206032,0.0003262490410346846,9.794254003906797e-06,0.498,0.4959839357429719,1.0,0.6630872483221476,0.00790513833976472,494,4,502,0
53371.331156674525,0.0010996868808774592,9.975370993668844e-06,0.494,0.494,1.0,0.6613119143239625,0.0,494,0,506,0
54238.377129945824,0.00032368879925276416,6.520169752904862e-06,0.505,0.5045045045045045,1.0,0.6706586826347305,0.002016129032217417,504,1,495,0
49508.87891459071,0.0007686629528492504,5.505468752906432e-06,0.511,0.5115115115115115,0.998046875,0.6763732627399074,0.0,511,0,488,1
56854.274647939965,0.0004133688168068569,9.038362904598629e-06,0.5,0.4994994994994995,1.0,0.6662216288384513,0.0019960079839920954,499,1,500,0
58758.4584975385,0.0003597928150823144,7.493764243852023e-06,0.496,0.4934673366834171,1.0,0.6608344549125168,0.009823182711005438,491,5,504,0
58098.465512778195,0.0002952243550126829,8.348397834238638e-06,0.491,0.48895582329317266,1.0,0.6567768037761295,0.007797270955013699,487,4,509,0
58486.793681859504,0.00023966763998812502,7.267656549470273e-06,0.501,0.5,1.0,0.6666666666666666,0.003992015967984191,499,2,499,0
55111.85184024298,0.00020332670442897436,8.323197090589957e-06,0.544,0.5421686746987951,1.0,0.703125,0.008695652173724007,540,4,456,0
52553.22881001813,0.00019832594204565398,6.202530282239986e-06,0.49,0.49,1.0,0.6577181208053692,0.0,490,0,510,0
54978.241652449076,0.0002957152127395265,8.328984340731333e-06,0.506,0.5055055055055055,1.0,0.6715425531914894,0.002020202020161208,505,1,494,0
56386.30277152466,0.0002021357178930051,6.795393346392491e-06,0.492,0.4914914914914915,1.0,0.6590604026845638,0.0019646365422010875,491,1,508,0
51518.8985210357,0.00018308398984562193,4.7480855067797295e-06,0.502,0.502,1.0,0.6684420772303595,0.0,502,0,498,0
54219.81364543562,0.00015398452380971478,1.4207789589363036e-06,0.494,0.494,1.0,0.6613119143239625,0.0,494,0,506,0
55631.45704603454,0.0003578188602646286,7.675055068248916e-06,0.5,0.4969818913480885,1.0,0.6639784946236559,0.01185770750964708,494,6,500,0
55420.918790069845,0.00032670133685236814,7.5743163485813976e-06,0.509,0.5085085085085085,1.0,0.6741871267418713,0.0020325203251619407,508,1,491,0
58456.44063820472,0.009934917349833547,9.09712905827391e-06,0.509,0.5065326633165829,1.0,0.6724482988659106,0.010080645161087084,504,5,491,0
